Date,TRDPRC_1
2010-01-04,55.45
2010-01-05,52.83
2010-01-06,51.62
2010-01-07,48.96
2010-01-08,48.92
2010-01-11,48.11
2010-01-12,48.3
2010-01-13,49.37
2010-01-14,46.2
2010-01-15,47.24
2010-01-19,56.71
2010-01-20,57.28
2010-01-21,61.2
2010-01-22,64.69
2010-01-25,62.29
2010-01-26,64.17
2010-01-27,61.47
2010-01-28,61.97
2010-01-29,61.86
2010-02-01,59.09
2010-02-02,62.25
2010-02-03,62.51
2010-02-04,66.26
2010-02-05,64.21
2010-02-08,65.18
2010-02-09,67.33
2010-02-10,68.0
2010-02-11,65.83
2010-02-12,63.82
2010-02-16,63.97
2010-02-17,63.84
2010-02-18,62.22
2010-02-19,62.51
2010-02-22,61.23
2010-02-23,64.32
2010-02-24,65.54
2010-02-25,64.87
2010-02-26,64.55
2010-03-01,62.37
2010-03-02,61.18
2010-03-03,59.45
2010-03-04,60.56
2010-03-05,57.39
2010-03-08,56.63
2010-03-09,56.95
2010-03-10,58.15
2010-03-11,58.05
2010-03-12,56.79
2010-03-15,59.17
2010-03-16,57.2
2010-03-17,55.49
2010-03-18,56.5
2010-03-19,57.3
2010-03-22,56.6
2010-03-23,56.19
2010-03-24,56.67
2010-03-25,58.56
2010-03-26,55.3
2010-03-29,55.38
2010-03-30,54.41
2010-03-31,57.41
2010-04-01,57.76
2010-04-05,53.8
2010-04-06,51.87
2010-04-07,52.45
2010-04-08,50.78
2010-04-09,49.97
2010-04-12,50.95
2010-04-13,52.25
2010-04-14,49.64
2010-04-15,49.71
2010-04-16,52.07
2010-04-19,51.34
2010-04-20,50.09
2010-04-21,53.14
2010-04-22,49.73
2010-04-23,50.28
2010-04-26,49.49
2010-04-27,56.07
2010-04-28,53.37
2010-04-29,49.83
2010-04-30,56.29
2010-05-03,53.65
2010-05-04,54.12
2010-05-05,57.55
2010-05-06,65.46
2010-05-07,72.39
2010-05-10,61.19
2010-05-11,63.06
2010-05-12,61.66
2010-05-13,62.87
2010-05-14,65.36
2010-05-17,65.93
2010-05-18,71.27
2010-05-19,73.27
2010-05-20,78.83
2010-05-21,72.23
2010-05-24,74.69
2010-05-25,68.36
2010-05-26,75.16
2010-05-27,69.62
2010-05-28,70.04
2010-06-01,73.44
2010-06-02,67.84
2010-06-03,67.92
2010-06-04,72.36
2010-06-07,75.08
2010-06-08,72.89
2010-06-09,71.83
2010-06-10,71.23
2010-06-11,70.2
2010-06-14,70.68
2010-06-15,66.53
2010-06-16,68.93
2010-06-17,67.33
2010-06-18,68.16
2010-06-21,67.47
2010-06-22,71.91
2010-06-23,69.83
2010-06-24,73.59
2010-06-25,70.29
2010-06-28,72.84
2010-06-29,77.64
2010-06-30,79.85
2010-07-01,77.47
2010-07-06,74.99
2010-07-07,72.5
2010-07-08,72.74
2010-07-09,72.55
2010-07-12,73.02
2010-07-13,73.37
2010-07-14,73.25
2010-07-15,76.41
2010-07-16,77.22
2010-07-19,82.58
2010-07-20,79.0
2010-07-21,79.43
2010-07-22,77.98
2010-07-23,74.76
2010-07-26,74.08
2010-07-27,74.3
2010-07-28,76.63
2010-07-29,76.87
2010-07-30,74.83
2010-08-02,71.9
2010-08-03,75.57
2010-08-04,73.39
2010-08-05,74.29
2010-08-06,73.96
2010-08-09,75.34
2010-08-10,75.25
2010-08-11,78.09
2010-08-12,80.74
2010-08-13,82.59
2010-08-16,82.31
2010-08-17,80.03
2010-08-18,82.03
2010-08-19,81.55
2010-08-20,83.31
2010-08-23,82.31
2010-08-24,81.36
2010-08-25,80.2
2010-08-26,81.16
2010-08-27,77.16
2010-08-30,80.13
2010-08-31,79.13
2010-09-01,76.78
2010-09-02,75.38
2010-09-03,72.13
2010-09-07,75.99
2010-09-08,74.69
2010-09-09,76.74
2010-09-10,74.88
2010-09-13,71.4
2010-09-14,73.02
2010-09-15,73.1
2010-09-16,73.18
2010-09-17,74.96
2010-09-20,73.99
2010-09-21,75.13
2010-09-22,73.82
2010-09-23,75.71
2010-09-24,71.89
2010-09-27,72.58
2010-09-28,74.29
2010-09-29,76.48
2010-09-30,78.6
2010-10-01,75.38
2010-10-04,76.42
2010-10-05,75.58
2010-10-06,73.24
2010-10-07,72.49
2010-10-08,71.85
2010-10-11,69.85
2010-10-12,69.29
2010-10-13,69.18
2010-10-14,67.03
2010-10-15,65.15
2010-10-18,65.46
2010-10-19,67.73
2010-10-20,67.24
2010-10-21,65.79
2010-10-22,65.43
2010-10-25,66.06
2010-10-26,68.42
2010-10-27,68.12
2010-10-28,69.07
2010-10-29,69.24
2010-11-01,69.68
2010-11-02,69.71
2010-11-03,61.94
2010-11-04,58.81
2010-11-05,58.44
2010-11-08,56.24
2010-11-09,59.26
2010-11-10,57.08
2010-11-11,54.94
2010-11-12,60.87
2010-11-15,60.26
2010-11-16,62.52
2010-11-17,62.35
2010-11-18,58.23
2010-11-19,57.22
2010-11-22,55.99
2010-11-23,59.26
2010-11-24,58.65
2010-11-26,65.77
2010-11-29,61.94
2010-11-30,66.68
2010-12-01,64.62
2010-12-02,57.19
2010-12-03,54.35
2010-12-06,53.85
2010-12-07,54.96
2010-12-08,53.86
2010-12-09,51.38
2010-12-10,51.23
2010-12-13,54.58
2010-12-14,55.27
2010-12-15,56.45
2010-12-16,56.66
2010-12-17,56.19
2010-12-20,57.15
2010-12-21,56.33
2010-12-22,54.3
2010-12-23,57.64
2010-12-27,59.01
2010-12-28,57.96
2010-12-29,57.52
2010-12-30,58.26
2010-12-31,57.87
2011-01-03,55.78
2011-01-04,55.49
2011-01-05,53.14
2011-01-06,53.8
2011-01-07,53.08
2011-01-10,52.89
2011-01-11,52.61
2011-01-12,51.03
2011-01-13,51.48
2011-01-14,48.21
2011-01-18,47.02
2011-01-19,52.77
2011-01-20,53.49
2011-01-21,55.36
2011-01-24,54.68
2011-01-25,53.31
2011-01-26,51.48
2011-01-27,49.91
2011-01-28,57.02
2011-01-31,55.45
2011-02-01,51.88
2011-02-02,51.89
2011-02-03,50.4
2011-02-04,47.81
2011-02-07,47.43
2011-02-08,46.24
2011-02-09,45.32
2011-02-10,46.47
2011-02-11,45.38
2011-02-14,45.59
2011-02-15,47.43
2011-02-16,48.46
2011-02-17,48.17
2011-02-18,49.16
2011-02-22,54.64
2011-02-23,58.42
2011-02-24,57.12
2011-02-25,51.34
2011-02-28,50.2
2011-03-01,56.97
2011-03-02,57.56
2011-03-03,53.94
2011-03-04,53.82
2011-03-07,57.53
2011-03-08,57.77
2011-03-09,60.12
2011-03-10,59.37
2011-03-11,57.36
2011-03-14,57.39
2011-03-15,62.07
2011-03-16,62.63
2011-03-17,61.64
2011-03-18,60.78
2011-03-21,58.1
2011-03-22,59.86
2011-03-23,58.78
2011-03-24,56.08
2011-03-25,56.69
2011-03-28,57.26
2011-03-29,55.82
2011-03-30,55.03
2011-03-31,54.79
2011-04-01,54.95
2011-04-04,54.49
2011-04-05,52.98
2011-04-06,51.54
2011-04-07,52.9
2011-04-08,54.75
2011-04-11,55.03
2011-04-12,54.57
2011-04-13,52.91
2011-04-14,51.98
2011-04-15,52.79
2011-04-18,54.91
2011-04-19,54.46
2011-04-20,53.49
2011-04-21,53.29
2011-04-25,53.53
2011-04-26,53.35
2011-04-27,53.2
2011-04-28,50.45
2011-04-29,51.86
2011-05-02,53.0
2011-05-03,54.48
2011-05-04,54.9
2011-05-05,55.6
2011-05-06,56.45
2011-05-09,55.13
2011-05-10,52.79
2011-05-11,52.29
2011-05-12,51.31
2011-05-13,52.55
2011-05-16,54.85
2011-05-17,53.97
2011-05-18,51.91
2011-05-19,50.61
2011-05-20,54.8
2011-05-23,57.28
2011-05-24,56.92
2011-05-25,56.5
2011-05-26,54.54
2011-05-27,54.81
2011-05-31,52.63
2011-06-01,58.2
2011-06-02,57.49
2011-06-03,57.32
2011-06-06,55.66
2011-06-07,55.84
2011-06-08,56.76
2011-06-09,55.66
2011-06-10,57.13
2011-06-13,58.4
2011-06-14,56.19
2011-06-15,61.12
2011-06-16,59.78
2011-06-17,59.78
2011-06-20,56.91
2011-06-21,56.61
2011-06-22,59.6
2011-06-23,57.45
2011-06-24,60.85
2011-06-27,59.12
2011-06-28,56.33
2011-06-29,52.78
2011-06-30,53.06
2011-07-01,52.96
2011-07-05,53.25
2011-07-06,54.27
2011-07-07,52.02
2011-07-08,51.49
2011-07-11,57.21
2011-07-12,58.91
2011-07-13,61.23
2011-07-14,59.33
2011-07-15,58.31
2011-07-18,59.13
2011-07-19,58.03
2011-07-20,58.46
2011-07-21,55.19
2011-07-22,55.02
2011-07-25,59.0
2011-07-26,59.99
2011-07-27,63.77
2011-07-28,64.9
2011-07-29,61.97
2011-08-01,59.58
2011-08-02,62.86
2011-08-03,61.88
2011-08-04,68.9
2011-08-05,68.53
2011-08-08,74.21
2011-08-09,62.36
2011-08-10,68.4
2011-08-11,66.19
2011-08-12,68.98
2011-08-15,67.45
2011-08-16,70.57
2011-08-17,71.12
2011-08-18,76.74
2011-08-19,75.99
2011-08-22,76.27
2011-08-23,72.37
2011-08-24,71.17
2011-08-25,74.82
2011-08-26,73.96
2011-08-29,73.7
2011-08-30,76.13
2011-08-31,75.68
2011-09-01,76.61
2011-09-02,75.64
2011-09-06,76.29
2011-09-07,74.27
2011-09-08,76.4
2011-09-09,78.59
2011-09-12,77.4
2011-09-13,80.34
2011-09-14,80.94
2011-09-15,80.01
2011-09-16,81.74
2011-09-19,81.49
2011-09-20,82.33
2011-09-21,78.47
2011-09-22,80.85
2011-09-23,79.68
2011-09-26,79.68
2011-09-27,80.82
2011-09-28,84.38
2011-09-29,80.55
2011-09-30,83.09
2011-10-03,79.05
2011-10-04,77.43
2011-10-05,77.0
2011-10-06,80.77
2011-10-07,80.16
2011-10-10,80.12
2011-10-11,77.79
2011-10-12,75.23
2011-10-13,75.29
2011-10-14,71.14
2011-10-17,76.08
2011-10-18,75.45
2011-10-19,81.77
2011-10-20,81.11
2011-10-21,82.1
2011-10-24,79.99
2011-10-25,82.52
2011-10-26,81.25
2011-10-27,75.53
2011-10-28,73.11
2011-10-31,78.99
2011-11-01,81.77
2011-11-02,80.24
2011-11-03,79.31
2011-11-04,80.44
2011-11-07,79.66
2011-11-08,78.99
2011-11-09,86.13
2011-11-10,81.39
2011-11-11,78.94
2011-11-14,83.28
2011-11-15,84.27
2011-11-16,86.75
2011-11-17,86.28
2011-11-18,86.92
2011-11-21,86.86
2011-11-22,87.66
2011-11-23,87.42
2011-11-25,89.15
2011-11-28,86.53
2011-11-29,86.44
2011-11-30,82.32
2011-12-01,83.21
2011-12-02,84.91
2011-12-05,85.74
2011-12-06,88.28
2011-12-07,88.91
2011-12-08,90.79
2011-12-09,85.13
2011-12-12,83.89
2011-12-13,84.92
2011-12-14,83.77
2011-12-15,83.69
2011-12-16,84.9
2011-12-19,86.16
2011-12-20,81.46
2011-12-21,78.15
2011-12-22,79.95
2011-12-23,82.78
2011-12-27,80.62
2011-12-28,82.36
2011-12-29,79.84
2011-12-30,79.76
2012-01-03,77.0
2012-01-04,75.08
2012-01-05,72.14
2012-01-06,71.48
2012-01-09,72.58
2012-01-10,72.46
2012-01-11,72.46
2012-01-12,71.58
2012-01-13,74.54
2012-01-17,74.88
2012-01-18,70.58
2012-01-19,69.42
2012-01-20,68.91
2012-01-23,70.6
2012-01-24,70.62
2012-01-25,66.97
2012-01-26,70.0
2012-01-27,67.39
2012-01-30,68.28
2012-01-31,67.95
2012-02-01,67.83
2012-02-02,65.29
2012-02-03,63.1
2012-02-06,63.82
2012-02-07,62.64
2012-02-08,66.14
2012-02-09,67.31
2012-02-10,68.68
2012-02-13,66.08
2012-02-14,66.01
2012-02-15,69.14
2012-02-16,63.18
2012-02-17,63.64
2012-02-21,66.13
2012-02-22,66.65
2012-02-23,62.67
2012-02-24,64.84
2012-02-27,65.93
2012-02-28,65.11
2012-02-29,64.39
2012-03-01,61.25
2012-03-02,63.39
2012-03-05,64.04
2012-03-06,68.46
2012-03-07,67.11
2012-03-08,63.29
2012-03-09,63.84
2012-03-12,62.28
2012-03-13,60.7
2012-03-14,61.41
2012-03-15,59.33
2012-03-16,58.86
2012-03-19,59.09
2012-03-20,58.13
2012-03-21,56.63
2012-03-22,57.17
2012-03-23,54.41
2012-03-26,50.22
2012-03-27,54.66
2012-03-28,53.19
2012-03-29,52.37
2012-03-30,54.03
2012-04-02,54.34
2012-04-03,54.18
2012-04-04,55.69
2012-04-05,57.02
2012-04-09,59.09
2012-04-10,63.47
2012-04-11,63.41
2012-04-12,56.23
2012-04-13,60.93
2012-04-16,61.86
2012-04-17,56.6
2012-04-18,59.19
2012-04-19,60.13
2012-04-20,61.44
2012-04-23,65.52
2012-04-24,64.86
2012-04-25,60.3
2012-04-26,56.5
2012-04-27,57.54
2012-04-30,58.73
2012-05-02,58.69
2012-05-03,61.55
2012-05-04,63.41
2012-05-07,61.97
2012-05-08,61.06
2012-05-09,62.33
2012-05-10,62.26
2012-05-11,64.08
2012-05-14,66.2
2012-05-15,67.51
2012-05-16,67.09
2012-05-17,67.74
2012-05-18,70.09
2012-05-21,68.91
2012-05-22,70.06
2012-05-23,66.48
2012-05-24,65.53
2012-05-25,67.23
2012-05-29,65.06
2012-05-30,69.24
2012-05-31,68.28
2012-06-01,72.15
2012-06-04,69.72
2012-06-05,71.29
2012-06-06,69.15
2012-06-07,68.47
2012-06-08,67.68
2012-06-11,72.74
2012-06-12,71.67
2012-06-13,76.58
2012-06-14,69.61
2012-06-15,66.11
2012-06-18,65.48
2012-06-19,66.19
2012-06-20,65.61
2012-06-21,71.99
2012-06-22,65.71
2012-06-25,67.23
2012-06-26,66.14
2012-06-27,69.02
2012-06-28,68.22
2012-06-29,62.47
2012-07-02,60.17
2012-07-03,60.15
2012-07-05,64.74
2012-07-06,62.03
2012-07-09,62.71
2012-07-10,63.31
2012-07-11,61.58
2012-07-12,61.56
2012-07-13,58.91
2012-07-16,59.95
2012-07-17,57.78
2012-07-18,59.03
2012-07-19,58.93
2012-07-20,62.67
2012-07-23,67.1
2012-07-24,70.94
2012-07-25,72.67
2012-07-26,65.6
2012-07-27,65.51
2012-07-30,66.85
2012-07-31,67.72
2012-08-01,68.7
2012-08-02,64.35
2012-08-03,61.32
2012-08-06,61.49
2012-08-07,64.94
2012-08-08,62.05
2012-08-09,60.57
2012-08-10,61.78
2012-08-13,60.51
2012-08-14,64.56
2012-08-15,64.74
2012-08-16,63.67
2012-08-17,61.62
2012-08-20,62.39
2012-08-21,61.57
2012-08-22,61.62
2012-08-23,62.91
2012-08-24,60.42
2012-08-27,63.81
2012-08-28,63.16
2012-08-29,65.05
2012-08-30,64.11
2012-08-31,63.47
2012-09-04,62.44
2012-09-05,60.2
2012-09-06,55.68
2012-09-07,53.32
2012-09-10,56.37
2012-09-11,57.12
2012-09-12,55.78
2012-09-13,51.36
2012-09-14,54.24
2012-09-17,54.06
2012-09-18,51.71
2012-09-19,50.87
2012-09-20,52.29
2012-09-21,52.42
2012-09-24,50.52
2012-09-25,53.59
2012-09-26,54.69
2012-09-27,48.55
2012-09-28,50.51
2012-10-01,51.5
2012-10-02,50.57
2012-10-03,49.39
2012-10-04,48.08
2012-10-05,48.0
2012-10-08,48.62
2012-10-09,51.29
2012-10-10,51.54
2012-10-11,49.28
2012-10-12,50.85
2012-10-15,49.03
2012-10-16,49.74
2012-10-17,49.55
2012-10-18,48.49
2012-10-19,51.94
2012-10-22,52.35
2012-10-23,56.33
2012-10-24,57.22
2012-10-25,56.61
2012-10-26,56.68
2012-10-31,56.99
2012-11-01,52.93
2012-11-02,54.06
2012-11-05,55.42
2012-11-06,53.38
2012-11-07,57.13
2012-11-08,57.2
2012-11-09,58.99
2012-11-12,56.37
2012-11-13,56.47
2012-11-14,59.96
2012-11-15,57.72
2012-11-16,54.42
2012-11-19,50.87
2012-11-20,50.84
2012-11-21,53.38
2012-11-23,51.76
2012-11-26,51.5
2012-11-27,53.58
2012-11-28,51.22
2012-11-29,51.07
2012-11-30,52.6
2012-12-03,55.14
2012-12-04,56.33
2012-12-05,53.97
2012-12-06,54.75
2012-12-07,52.14
2012-12-10,52.19
2012-12-11,52.07
2012-12-12,53.09
2012-12-13,53.82
2012-12-14,53.68
2012-12-17,51.04
2012-12-18,47.83
2012-12-19,52.86
2012-12-20,52.85
2012-12-21,53.2
2012-12-24,54.39
2012-12-26,57.62
2012-12-27,56.11
2012-12-28,60.43
2012-12-31,50.33
2013-01-02,45.82
2013-01-03,48.83
2013-01-04,49.53
2013-01-07,49.4
2013-01-08,50.19
2013-01-09,51.21
2013-01-10,48.94
2013-01-11,49.11
2013-01-14,50.37
2013-01-15,50.69
2013-01-16,50.67
2013-01-17,50.79
2013-01-18,48.36
2013-01-22,47.3
2013-01-23,46.96
2013-01-24,49.38
2013-01-25,49.23
2013-01-28,49.75
2013-01-29,46.55
2013-01-30,50.37
2013-01-31,51.75
2013-02-01,47.35
2013-02-04,50.12
2013-02-05,47.47
2013-02-06,46.08
2013-02-07,45.77
2013-02-08,45.06
2013-02-11,43.41
2013-02-12,43.32
2013-02-13,45.11
2013-02-14,43.74
2013-02-15,43.32
2013-02-19,42.22
2013-02-20,48.44
2013-02-21,49.93
2013-02-22,46.4
2013-02-25,56.7
2013-02-26,52.6
2013-02-27,46.7
2013-02-28,48.68
2013-03-01,49.87
2013-03-04,45.36
2013-03-05,44.32
2013-03-06,45.73
2013-03-07,44.83
2013-03-08,45.58
2013-03-11,44.81
2013-03-12,46.65
2013-03-13,46.04
2013-03-14,43.88
2013-03-15,45.49
2013-03-18,51.12
2013-03-19,51.72
2013-03-20,46.69
2013-03-21,49.24
2013-03-22,50.2
2013-03-25,49.68
2013-03-26,47.98
2013-03-27,47.69
2013-03-28,45.77
2013-04-01,48.64
2013-04-02,45.45
2013-04-03,48.03
2013-04-04,46.56
2013-04-05,44.82
2013-04-08,42.06
2013-04-09,41.04
2013-04-10,39.65
2013-04-11,40.02
2013-04-12,39.93
2013-04-15,48.53
2013-04-16,42.93
2013-04-17,47.66
2013-04-18,51.3
2013-04-19,47.43
2013-04-22,46.28
2013-04-23,42.58
2013-04-24,44.41
2013-04-25,45.91
2013-04-26,46.81
2013-04-29,45.12
2013-04-30,44.71
2013-05-01,48.56
2013-05-02,45.6
2013-05-03,42.46
2013-05-06,41.72
2013-05-07,42.78
2013-05-08,44.36
2013-05-09,46.73
2013-05-10,45.28
2013-05-13,46.94
2013-05-14,47.62
2013-05-15,46.2
2013-05-16,48.14
2013-05-17,45.68
2013-05-20,47.32
2013-05-21,47.43
2013-05-22,49.9
2013-05-23,48.56
2013-05-24,48.18
2013-05-28,46.84
2013-05-29,47.26
2013-05-30,45.56
2013-05-31,48.97
2013-06-03,48.23
2013-06-04,49.18
2013-06-05,49.99
2013-06-06,48.73
2013-06-07,45.55
2013-06-10,47.2
2013-06-11,51.92
2013-06-12,56.1
2013-06-13,51.23
2013-06-14,53.08
2013-06-17,53.6
2013-06-18,53.24
2013-06-19,52.72
2013-06-20,58.61
2013-06-21,54.92
2013-06-24,59.67
2013-06-25,57.46
2013-06-26,56.12
2013-06-27,55.75
2013-06-28,55.71
2013-07-01,53.4
2013-07-02,53.88
2013-07-03,53.26
2013-07-05,49.99
2013-07-08,48.32
2013-07-09,47.16
2013-07-10,47.36
2013-07-11,48.26
2013-07-12,48.69
2013-07-15,48.75
2013-07-16,51.29
2013-07-17,49.36
2013-07-18,49.06
2013-07-19,47.92
2013-07-22,46.49
2013-07-23,47.72
2013-07-24,50.16
2013-07-25,48.02
2013-07-26,47.29
2013-07-29,47.52
2013-07-30,46.04
2013-07-31,46.72
2013-08-01,45.15
2013-08-02,43.34
2013-08-05,41.97
2013-08-06,45.42
2013-08-07,45.58
2013-08-08,45.37
2013-08-09,47.3
2013-08-12,47.38
2013-08-13,45.02
2013-08-14,45.78
2013-08-15,49.06
2013-08-16,48.57
2013-08-19,50.27
2013-08-20,49.36
2013-08-21,50.31
2013-08-22,47.98
2013-08-23,46.43
2013-08-26,48.3
2013-08-27,52.37
2013-08-28,52.53
2013-08-29,54.18
2013-08-30,54.12
2013-09-03,52.24
2013-09-04,51.1
2013-09-05,49.45
2013-09-06,49.53
2013-09-09,48.07
2013-09-10,45.58
2013-09-11,43.88
2013-09-12,46.42
2013-09-13,46.92
2013-09-16,46.79
2013-09-17,48.32
2013-09-18,46.92
2013-09-19,47.49
2013-09-20,48.28
2013-09-23,50.07
2013-09-24,49.5
2013-09-25,47.93
2013-09-26,46.26
2013-09-27,47.64
2013-09-30,50.47
2013-10-01,48.18
2013-10-02,48.48
2013-10-03,51.43
