Date,TRDPRC_1
2010-01-04,17.01
2010-01-05,17.065
2010-01-06,17.355
2010-01-07,17.22
2010-01-08,17.46
2010-01-11,17.365
2010-01-12,17.035
2010-01-13,17.235
2010-01-14,17.025
2010-01-15,16.9
2010-01-19,17.17
2010-01-20,16.865
2010-01-21,16.135
2010-01-22,15.815
2010-01-25,15.955
2010-01-26,15.73
2010-01-27,15.595
2010-01-28,15.315
2010-01-29,15.07
2010-02-01,15.67
2010-02-02,15.72
2010-02-03,15.54
2010-02-04,14.96
2010-02-05,15.24
2010-02-08,14.995
2010-02-09,15.36
2010-02-10,15.255
2010-02-11,15.515
2010-02-12,15.485
2010-02-16,15.875
2010-02-17,15.885
2010-02-18,16.055
2010-02-19,16.145
2010-02-22,16.075
2010-02-23,15.82
2010-02-24,15.78
2010-02-25,15.745
2010-02-26,15.75
2010-03-01,15.99
2010-03-02,16.125
2010-03-03,16.265
2010-03-04,16.375
2010-03-05,16.585
2010-03-08,16.585
2010-03-09,16.48
2010-03-10,16.485
2010-03-11,16.58
2010-03-12,16.645
2010-03-15,16.64
2010-03-16,16.885
2010-03-17,16.98
2010-03-18,16.86
2010-03-19,16.64
2010-03-22,16.885
2010-03-23,17.105
2010-03-24,17.055
2010-03-25,16.715
2010-03-26,16.84
2010-03-29,17.02
2010-03-30,17.045
2010-03-31,16.96
2010-04-01,17.255
2010-04-05,17.465
2010-04-06,17.495
2010-04-07,17.385
2010-04-08,17.425
2010-04-09,17.455
2010-04-12,17.4
2010-04-13,17.335
2010-04-14,17.465
2010-04-15,17.465
2010-04-16,17.165
2010-04-19,17.17
2010-04-20,17.2245
2010-04-21,17.18
2010-04-22,17.35
2010-04-23,17.505
2010-04-26,17.58
2010-04-27,16.94
2010-04-28,17.145
2010-04-29,17.3
2010-04-30,16.995
2010-05-03,16.985
2010-05-04,16.395
2010-05-05,16.275
2010-05-06,15.74
2010-05-07,15.565
2010-05-10,16.305
2010-05-11,16.1
2010-05-12,16.435
2010-05-13,16.19
2010-05-14,15.795
2010-05-17,15.795
2010-05-18,15.525
2010-05-19,15.525
2010-05-20,14.82
2010-05-21,15.185
2010-05-24,14.925
2010-05-25,15.175
2010-05-26,15.055
2010-05-27,15.65
2010-05-28,15.375
2010-06-01,14.88
2010-06-02,15.34
2010-06-03,15.155
2010-06-04,14.555
2010-06-07,14.295
2010-06-08,14.62
2010-06-09,14.64
2010-06-10,15.165
2010-06-11,15.335
2010-06-14,15.185
2010-06-15,15.56
2010-06-16,15.54
2010-06-17,15.455
2010-06-18,15.475
2010-06-21,15.57
2010-06-22,15.185
2010-06-23,15.215
2010-06-24,14.83
2010-06-25,15.05
2010-06-28,14.88
2010-06-29,14.33
2010-06-30,14.185
2010-07-01,14.105
2010-07-02,14.025
2010-07-06,14.04
2010-07-07,14.6
2010-07-08,14.84
2010-07-09,15.195
2010-07-12,14.995
2010-07-13,15.4
2010-07-14,15.35
2010-07-15,15.335
2010-07-16,14.915
2010-07-19,14.93
2010-07-20,15.38
2010-07-21,15.33
2010-07-22,15.66
2010-07-23,16.005
2010-07-26,16.1
2010-07-27,15.97
2010-07-28,15.92
2010-07-29,15.905
2010-07-30,16.005
