Date,TRDPRC_1
2010-01-04,28.32
2010-01-05,28.42
2010-01-06,28.48
2010-01-07,28.79
2010-01-08,29.25
2010-01-11,29.57
2010-01-12,29.33
2010-01-13,29.45
2010-01-14,29.45
2010-01-15,29.07
2010-01-19,29.39
2010-01-20,28.94
2010-01-21,28.27
2010-01-22,27.84
2010-01-25,28.02
2010-01-26,27.9
2010-01-27,27.98
2010-01-28,27.66
2010-01-29,27.38
2010-02-01,27.79
2010-02-02,28.32
2010-02-03,28.15
2010-02-04,27.32
2010-02-05,27.2
2010-02-08,26.9
2010-02-09,27.42
2010-02-10,27.38
2010-02-11,27.79
2010-02-12,27.57
2010-02-16,28.22
2010-02-17,28.46
2010-02-18,28.72
2010-02-19,28.86
2010-02-22,28.88
2010-02-23,28.51
2010-02-24,28.8
2010-02-25,28.73
2010-02-26,28.84
2010-03-01,29.22
2010-03-02,29.27
2010-03-03,29.31
2010-03-04,29.45
2010-03-05,29.9
2010-03-08,29.76
2010-03-09,30.0
2010-03-10,30.06
2010-03-11,30.17
2010-03-12,30.37
2010-03-15,30.37
2010-03-16,30.78
2010-03-17,30.83
2010-03-18,31.04
2010-03-19,30.81
2010-03-22,30.9
2010-03-23,31.25
2010-03-24,31.03
2010-03-25,31.01
2010-03-26,31.09
2010-03-29,31.37
2010-03-30,31.42
2010-03-31,31.24
2010-04-01,31.44
2010-04-05,31.67
2010-04-06,31.68
2010-04-07,31.5
2010-04-08,31.6025
2010-04-09,31.78
2010-04-12,31.85
2010-04-13,31.9
2010-04-14,32.31
2010-04-15,32.62
2010-04-16,32.09
2010-04-19,32.03
2010-04-20,32.4
2010-04-21,32.62
2010-04-22,32.92
2010-04-23,33.12
2010-04-26,33.19
2010-04-27,32.39
2010-04-28,32.62
2010-04-29,33.36
2010-04-30,32.57
2010-05-03,33.22
2010-05-04,32.17
2010-05-05,31.76
2010-05-06,30.71
2010-05-07,30.03
2010-05-10,31.75
2010-05-11,31.66
2010-05-12,32.36
2010-05-13,31.86
2010-05-14,31.19
2010-05-17,31.11
2010-05-18,30.72
2010-05-19,30.33
2010-05-20,29.01
2010-05-21,29.42
2010-05-24,28.98
2010-05-25,28.96
2010-05-26,29.02
2010-05-27,30.0
2010-05-28,29.6
2010-06-01,28.94
2010-06-02,29.69
2010-06-03,29.8275
2010-06-04,28.43
2010-06-07,27.7
2010-06-08,27.99
2010-06-09,27.99
2010-06-10,29.07
2010-06-11,29.17
2010-06-14,29.14
2010-06-15,30.02
2010-06-16,29.94
2010-06-17,30.03
2010-06-18,30.0
2010-06-21,30.05
2010-06-22,29.3225
2010-06-23,29.21
2010-06-24,28.7
2010-06-25,28.92
2010-06-28,28.72
2010-06-29,27.61
2010-06-30,27.43
2010-07-01,27.35
2010-07-02,27.01
2010-07-06,27.06
2010-07-07,28.0
2010-07-08,28.36
2010-07-09,28.64
2010-07-12,28.49
2010-07-13,28.99
2010-07-14,29.05
2010-07-15,29.04
2010-07-16,28.07
2010-07-19,28.23
2010-07-20,28.67
2010-07-21,28.6
2010-07-22,29.48
2010-07-23,30.07
2010-07-26,30.56
2010-07-27,30.35
2010-07-28,30.27
2010-07-29,30.17
2010-07-30,30.29
2010-08-02,30.89
2010-08-03,30.73
2010-08-04,31.0
2010-08-05,31.02
2010-08-06,30.85
2010-08-09,31.01
2010-08-10,30.8
2010-08-11,29.65
2010-08-12,29.44
2010-08-13,29.4
2010-08-16,29.34
2010-08-17,29.85
2010-08-18,29.96
2010-08-19,29.32
2010-08-20,29.17
2010-08-23,28.85
2010-08-24,28.26
2010-08-25,28.21
2010-08-26,28.17
2010-08-27,28.74
2010-08-30,28.3
2010-08-31,28.19
2010-09-01,29.31
2010-09-02,29.68
2010-09-03,30.13
2010-09-07,29.85
2010-09-08,30.16
2010-09-09,30.13
2010-09-10,30.4
2010-09-13,30.7
2010-09-14,30.61
2010-09-15,30.61
2010-09-16,30.57
2010-09-17,30.6975
2010-09-20,31.16
2010-09-21,31.22
2010-09-22,31.06
2010-09-23,30.6
2010-09-24,31.44
2010-09-27,31.24
2010-09-28,31.41
2010-09-29,31.4
2010-09-30,31.28
2010-10-01,31.31
2010-10-04,30.98
2010-10-05,31.81
2010-10-06,32.0
2010-10-07,31.93
2010-10-08,32.195
2010-10-11,32.11
2010-10-12,32.09
2010-10-13,32.62
2010-10-14,32.43
2010-10-15,32.23
2010-10-18,32.21
2010-10-19,31.78
2010-10-20,32.23
2010-10-21,32.49
2010-10-22,32.48
2010-10-25,32.59
2010-10-26,32.44
2010-10-27,32.2
2010-10-28,32.13
2010-10-29,32.18
2010-11-01,32.18
2010-11-02,32.49
2010-11-03,32.54
2010-11-04,33.23
2010-11-05,33.43
2010-11-08,33.29
2010-11-09,32.99
2010-11-10,32.98
2010-11-11,32.795
2010-11-12,32.41
2010-11-15,32.51
2010-11-16,31.985
2010-11-17,32.01
2010-11-18,32.66
2010-11-19,32.76
2010-11-22,32.69
2010-11-23,32.24
2010-11-24,32.97
2010-11-26,32.7
2010-11-29,32.69
2010-11-30,32.61
2010-12-01,33.45
2010-12-02,33.97
2010-12-03,34.04
2010-12-06,34.0175
2010-12-07,34.11
2010-12-08,33.99
2010-12-09,34.09
2010-12-10,34.395
2010-12-13,34.42
2010-12-14,34.58
2010-12-15,34.44
2010-12-16,34.82
2010-12-17,34.54
2010-12-20,34.53
2010-12-21,34.81
2010-12-22,34.89
2010-12-23,34.82
2010-12-27,34.88
2010-12-28,34.86
2010-12-29,34.89
2010-12-30,34.83
2010-12-31,34.87
2011-01-03,35.12
2011-01-04,35.07
2011-01-05,35.25
2011-01-06,35.19
2011-01-07,35.26
2011-01-10,35.31
2011-01-11,35.44
2011-01-12,35.73
2011-01-13,35.765
2011-01-14,35.91
2011-01-18,36.17
2011-01-19,35.79
2011-01-20,35.61
2011-01-21,35.9
2011-01-24,36.24
2011-01-25,36.195
2011-01-26,36.41
2011-01-27,36.545
2011-01-28,35.83
2011-01-31,36.24
2011-02-01,36.75
2011-02-02,36.635
2011-02-03,36.65
2011-02-04,36.78
2011-02-07,37.125
2011-02-08,37.375
2011-02-09,37.37
2011-02-10,37.57
2011-02-11,37.85
2011-02-14,37.81
2011-02-15,37.67
2011-02-16,37.85
2011-02-17,37.94
2011-02-18,38.045
2011-02-22,36.9375
2011-02-23,36.29
2011-02-24,36.5
2011-02-25,36.83
2011-02-28,37.01
2011-03-01,36.225
2011-03-02,36.395
2011-03-03,37.275
2011-03-04,36.841
2011-03-07,36.5
2011-03-08,37.07
2011-03-09,36.99
2011-03-10,36.245
2011-03-11,36.67
2011-03-14,36.36
2011-03-15,36.02
2011-03-16,35.35
2011-03-17,35.9
2011-03-18,35.97
2011-03-21,36.76
2011-03-22,36.465
2011-03-23,36.59
2011-03-24,36.97
2011-03-25,37.1
2011-03-28,37.0675
2011-03-29,37.37
2011-03-30,37.52
2011-03-31,37.665
2011-04-01,37.98
2011-04-04,38.03
2011-04-05,37.89
2011-04-06,37.93
2011-04-07,37.75
2011-04-08,37.42
2011-04-11,37.39
2011-04-12,37.11
2011-04-13,37.0
2011-04-14,37.0
2011-04-15,37.13
2011-04-18,36.6
2011-04-19,36.92
2011-04-20,37.52
2011-04-21,37.63
2011-04-25,37.52
2011-04-26,38.24
2011-04-27,38.41
2011-04-28,38.54
2011-04-29,38.7
2011-05-02,38.64
2011-05-03,38.48
2011-05-04,37.92
2011-05-05,37.74
2011-05-06,38.07
2011-05-09,38.23
2011-05-10,38.58
2011-05-11,38.06
2011-05-12,38.14
2011-05-13,37.68
2011-05-16,37.54
2011-05-17,37.03
2011-05-18,37.53
2011-05-19,37.77
2011-05-20,37.37
2011-05-23,36.84
2011-05-24,36.65
2011-05-25,36.96
2011-05-26,37.11
2011-05-27,37.29
2011-05-31,37.63
2011-06-01,36.4
2011-06-02,36.59
2011-06-03,36.1
2011-06-06,35.84
2011-06-07,35.82
2011-06-08,35.51
2011-06-09,35.78
2011-06-10,35.21
2011-06-13,35.22
2011-06-14,35.89
2011-06-15,35.345
2011-06-16,35.47
2011-06-17,35.45
2011-06-20,35.76
2011-06-21,36.32
2011-06-22,36.12
2011-06-23,36.04
2011-06-24,35.63
2011-06-27,35.91
2011-06-28,36.47
2011-06-29,36.66
2011-06-30,37.24
2011-07-01,37.91
2011-07-05,37.695
2011-07-06,37.9
2011-07-07,38.3
2011-07-08,37.82
2011-07-11,37.12
2011-07-12,36.76
2011-07-13,36.91
2011-07-14,36.51
2011-07-15,36.54
2011-07-18,36.13
2011-07-19,36.601
2011-07-20,36.67
2011-07-21,37.22
2011-07-22,36.83
2011-07-25,36.81
2011-07-26,36.13
2011-07-27,35.15
2011-07-28,34.85
2011-07-29,34.68
2011-08-01,34.46
2011-08-02,33.26
2011-08-03,33.56
2011-08-04,31.76
2011-08-05,31.76
2011-08-08,29.52
2011-08-09,30.98
2011-08-10,29.4
2011-08-11,30.8
2011-08-12,31.4
2011-08-15,31.87
2011-08-16,31.42
2011-08-17,31.32
2011-08-18,29.585
2011-08-19,29.13
2011-08-22,29.24
2011-08-23,30.27
2011-08-24,30.88
2011-08-25,30.3
2011-08-26,30.93
2011-08-29,31.91
2011-08-30,32.18
2011-08-31,32.4
2011-09-01,31.87
2011-09-02,30.85
2011-09-06,30.53
2011-09-07,31.48
2011-09-08,31.005
2011-09-09,30.18
2011-09-12,30.235
2011-09-13,30.8
2011-09-14,31.34
2011-09-15,31.975
2011-09-16,31.97
2011-09-19,31.67
2011-09-20,31.44
2011-09-21,30.14
2011-09-22,29.01
2011-09-23,29.31
2011-09-26,30.05
2011-09-27,30.58
2011-09-28,29.8
2011-09-29,30.23
2011-09-30,29.22
2011-10-03,28.4
2011-10-04,29.19
2011-10-05,29.81
2011-10-06,30.41
2011-10-07,30.34
2011-10-10,31.4
2011-10-11,31.49
2011-10-12,31.89
2011-10-13,31.62
2011-10-14,32.19
2011-10-17,31.27
2011-10-18,32.17
2011-10-19,31.78
2011-10-20,32.05
2011-10-21,32.67
2011-10-24,33.28
2011-10-25,32.6
2011-10-26,32.83
2011-10-27,34.26
2011-10-28,34.26
2011-10-31,33.42
2011-11-01,32.41
2011-11-02,33.05
2011-11-03,33.86
2011-11-04,33.6
2011-11-07,33.68
2011-11-08,34.06
2011-11-09,32.74
2011-11-10,33.14
2011-11-11,33.93
2011-11-14,33.72
2011-11-15,33.92
2011-11-16,33.42
2011-11-17,32.84
2011-11-18,32.92
2011-11-21,32.16
2011-11-22,31.95
2011-11-23,31.21
2011-11-25,31.16
2011-11-28,32.21
2011-11-29,32.24
2011-11-30,33.89
2011-12-01,33.78
2011-12-02,33.71
2011-12-05,34.07
2011-12-06,34.06
2011-12-07,34.05
2011-12-08,33.21
2011-12-09,33.97
2011-12-12,33.35
2011-12-13,32.91
2011-12-14,32.52
2011-12-15,32.75
2011-12-16,32.67
2011-12-19,32.33
2011-12-20,33.435
2011-12-21,33.45
2011-12-22,33.765
2011-12-23,34.09
2011-12-27,34.08
2011-12-28,33.54
2011-12-29,33.96
2011-12-30,33.75
2012-01-03,34.49
2012-01-04,34.65
2012-01-05,34.66
2012-01-06,34.59
2012-01-09,34.845
2012-01-10,35.35
2012-01-11,35.46
2012-01-12,35.77
2012-01-13,35.495
2012-01-17,35.67
2012-01-18,35.99
2012-01-19,36.37
2012-01-20,36.16
2012-01-23,36.12
2012-01-24,36.16
2012-01-25,36.56
2012-01-26,36.49
2012-01-27,36.46
2012-01-30,36.33
2012-01-31,36.22
2012-02-01,36.61
2012-02-02,36.63
2012-02-03,37.26
2012-02-06,37.17
2012-02-07,37.13
2012-02-08,37.21
2012-02-09,37.31
2012-02-10,36.97
2012-02-13,37.42
2012-02-14,37.29
2012-02-15,36.8
2012-02-16,37.14
2012-02-17,37.28
2012-02-21,37.41
2012-02-22,37.37
2012-02-23,37.49
2012-02-24,37.48
2012-02-27,37.51
2012-02-28,37.46
2012-02-29,37.23
2012-03-01,37.36
2012-03-02,37.14
2012-03-05,36.88
2012-03-06,36.05
2012-03-07,36.42
2012-03-08,36.94
2012-03-09,37.02
2012-03-12,37.01
2012-03-13,37.78
2012-03-14,37.69
2012-03-15,38.14
2012-03-16,37.98
2012-03-19,37.98
2012-03-20,37.54
2012-03-21,37.52
2012-03-22,37.1
2012-03-23,37.16
2012-03-26,37.71
2012-03-27,37.59
2012-03-28,37.23
2012-03-29,37.25
2012-03-30,37.415
2012-04-02,37.66
2012-04-03,37.39
2012-04-04,37.12
2012-04-05,36.97
2012-04-09,36.37
2012-04-10,35.63
2012-04-11,36.03
2012-04-12,36.8
2012-04-13,36.33
2012-04-16,36.43
2012-04-17,37.03
2012-04-18,36.87
2012-04-19,36.46
2012-04-20,36.77
2012-04-23,36.36
2012-04-24,36.84
2012-04-25,36.91
2012-04-26,37.13
2012-04-27,37.36
2012-04-30,37.01
2012-05-01,37.12
2012-05-02,37.13
2012-05-03,36.83
2012-05-04,36.3
2012-05-07,36.2
2012-05-08,36.11
2012-05-09,35.69
2012-05-10,35.74
2012-05-11,35.67
2012-05-14,35.255
2012-05-15,35.08
2012-05-16,35.04
2012-05-17,34.29
2012-05-18,34.12
2012-05-21,34.88
2012-05-22,35.01
2012-05-23,35.2
2012-05-24,35.16
2012-05-25,34.92
2012-05-29,35.39
2012-05-30,34.8
2012-05-31,34.67
2012-06-01,33.71
2012-06-04,33.36
2012-06-05,33.455
2012-06-06,34.345
2012-06-07,34.54
2012-06-08,34.8
2012-06-11,34.345
2012-06-12,34.9
2012-06-13,34.55
2012-06-14,34.82
2012-06-15,34.955
2012-06-18,35.04
2012-06-19,35.51
2012-06-20,35.32
2012-06-21,34.625
2012-06-22,34.75
2012-06-25,34.105
2012-06-26,34.17
2012-06-27,34.5
2012-06-28,34.47
2012-06-29,35.67
2012-07-02,35.36
2012-07-03,35.73
2012-07-05,35.69
2012-07-06,35.21
2012-07-09,35.19
2012-07-10,34.62
2012-07-11,34.34
2012-07-12,34.21
2012-07-13,34.87
2012-07-16,34.63
2012-07-17,34.78
2012-07-18,35.43
2012-07-19,35.595
2012-07-20,35.16
2012-07-23,34.98
2012-07-24,34.59
2012-07-25,34.71
2012-07-26,35.24
2012-07-27,36.01
2012-07-30,35.91
2012-07-31,35.81
2012-08-01,35.57
2012-08-02,35.39
2012-08-03,36.16
2012-08-06,36.16
2012-08-07,36.53
2012-08-08,36.48
2012-08-09,36.51
2012-08-10,36.68
2012-08-13,36.6
2012-08-14,36.55
2012-08-15,36.63
2012-08-16,37.0
2012-08-17,37.18
2012-08-20,37.1
2012-08-21,37.02
2012-08-22,36.84
2012-08-23,36.54
2012-08-24,36.71
2012-08-27,36.6
2012-08-28,36.46
2012-08-29,36.45
2012-08-30,36.14
2012-08-31,36.36
2012-09-04,35.98
2012-09-05,35.88
2012-09-06,36.685
2012-09-07,37.0
2012-09-10,36.76
2012-09-11,36.96
2012-09-12,37.11
2012-09-13,37.53
2012-09-14,37.76
2012-09-17,37.58
2012-09-18,37.59
2012-09-19,37.68
2012-09-20,37.32
2012-09-21,36.975
2012-09-24,36.965
2012-09-25,36.48
2012-09-26,36.335
2012-09-27,36.68
2012-09-28,36.53
2012-10-01,36.6991
2012-10-02,36.64
2012-10-03,36.83
2012-10-04,37.04
2012-10-05,37.16
2012-10-08,37.07
2012-10-09,36.64
2012-10-10,36.3
2012-10-11,36.41
2012-10-12,36.45
2012-10-15,36.7
2012-10-16,37.0879
2012-10-17,37.315
2012-10-18,37.42
2012-10-19,36.79
2012-10-22,36.69
2012-10-23,36.32
2012-10-24,36.09
2012-10-25,36.29
2012-10-26,36.32
2012-10-31,36.4894
2012-11-01,37.1406
2012-11-02,36.83
2012-11-05,37.03
2012-11-06,37.43
2012-11-07,36.55
2012-11-08,36.17
2012-11-09,36.27
2012-11-12,36.37
2012-11-13,36.27
2012-11-14,35.415
2012-11-15,35.42
2012-11-16,35.52
2012-11-19,36.185
2012-11-20,36.22
2012-11-21,36.27
2012-11-23,36.74
2012-11-26,36.765
2012-11-27,36.69
2012-11-28,37.0
2012-11-29,37.21
2012-11-30,37.13
2012-12-03,36.73
2012-12-04,36.87
2012-12-05,37.26
2012-12-06,37.25
2012-12-07,37.495
2012-12-10,37.68
2012-12-11,37.76
2012-12-12,37.82
2012-12-13,37.7
2012-12-14,37.62
2012-12-17,37.97
2012-12-18,38.46
2012-12-19,38.25
2012-12-20,38.45
2012-12-21,37.93
2012-12-24,37.82
2012-12-26,37.69
2012-12-27,37.63
2012-12-28,37.22
2012-12-31,37.9
2013-01-02,38.81
2013-01-03,38.83
2013-01-04,39.12
2013-01-07,38.95
2013-01-08,38.65
2013-01-09,39.04
2013-01-10,39.23
2013-01-11,39.09
2013-01-14,39.24
2013-01-15,39.35
2013-01-16,39.19
2013-01-17,39.61
2013-01-18,39.93
2013-01-22,40.09
2013-01-23,40.1
2013-01-24,40.34
2013-01-25,40.47
2013-01-28,40.5
2013-01-29,40.59
2013-01-30,40.22
2013-01-31,40.08
2013-02-01,40.47
2013-02-04,40.12
2013-02-05,40.49
2013-02-06,40.5
2013-02-07,40.45
2013-02-08,40.61
2013-02-11,40.58
2013-02-12,40.76
2013-02-13,40.98
2013-02-14,41.04
2013-02-15,41.06
2013-02-19,41.36
2013-02-20,40.82
2013-02-21,40.52
2013-02-22,40.84
2013-02-25,40.0
2013-02-26,40.24
2013-02-27,41.0
2013-02-28,40.97
2013-03-01,40.9
2013-03-04,40.82
2013-03-05,41.4
2013-03-06,41.4
2013-03-07,41.43
2013-03-08,41.82
2013-03-11,41.96
2013-03-12,41.72
2013-03-13,41.92
2013-03-14,42.12
2013-03-15,41.97
2013-03-18,41.71
2013-03-19,41.67
2013-03-20,41.72
2013-03-21,41.3
2013-03-22,41.62
2013-03-25,41.25
2013-03-26,41.46
2013-03-27,41.46
2013-03-28,41.76
2013-04-01,41.25
2013-04-02,41.12
2013-04-03,40.87
2013-04-04,41.05
2013-04-05,40.97
2013-04-08,41.21
2013-04-09,41.34
2013-04-10,41.89
2013-04-11,42.0
2013-04-12,41.76
2013-04-15,40.49
2013-04-16,41.04
2013-04-17,40.36
2013-04-18,40.18
2013-04-19,40.38
2013-04-22,40.425
2013-04-23,40.72
2013-04-24,41.14
2013-04-25,41.35
2013-04-26,41.23
2013-04-29,41.44
2013-04-30,41.45
2013-05-01,40.91
2013-05-02,41.415
2013-05-03,42.13
2013-05-06,42.4
2013-05-07,42.79
2013-05-08,43.06
2013-05-09,43.06
2013-05-10,43.19
2013-05-13,43.02
2013-05-14,43.55
2013-05-15,43.73
2013-05-16,43.51
2013-05-17,44.17
2013-05-20,44.3
2013-05-21,44.36
2013-05-22,43.97
2013-05-23,43.85
2013-05-24,43.71
2013-05-28,43.94
2013-05-29,43.69
2013-05-30,43.95
2013-05-31,43.53
2013-06-03,43.74
2013-06-04,43.5
2013-06-05,42.71
2013-06-06,42.98
2013-06-07,43.79
2013-06-10,43.66
2013-06-11,43.26
2013-06-12,42.96
2013-06-13,43.59
2013-06-14,43.3
2013-06-17,43.64
2013-06-18,44.155
2013-06-19,43.48
2013-06-20,42.49
2013-06-21,42.3
2013-06-24,41.59
2013-06-25,42.055
2013-06-26,42.47
2013-06-27,42.89
2013-06-28,42.64
2013-07-01,43.07
2013-07-02,42.61
2013-07-03,42.63
2013-07-05,43.3
2013-07-08,43.415
2013-07-09,44.03
2013-07-10,44.02
2013-07-11,44.72
2013-07-12,44.45
2013-07-15,44.61
2013-07-16,44.37
2013-07-17,44.5
2013-07-18,44.95
2013-07-19,45.41
2013-07-22,45.44
2013-07-23,45.41
2013-07-24,45.06
2013-07-25,45.08
2013-07-26,44.93
2013-07-29,44.81
2013-07-30,45.0
2013-07-31,45.16
2013-08-01,45.93
2013-08-02,46.02
2013-08-05,45.845
2013-08-06,45.5
2013-08-07,45.43
2013-08-08,45.64
2013-08-09,45.49
2013-08-12,45.55
2013-08-13,45.75
2013-08-14,45.43
2013-08-15,44.92
2013-08-16,44.98
2013-08-19,44.74
2013-08-20,44.82
2013-08-21,44.51
2013-08-22,45.12
2013-08-23,45.13
2013-08-26,45.03
2013-08-27,44.12
2013-08-28,44.16
2013-08-29,44.29
2013-08-30,44.04
2013-09-03,44.32
2013-09-04,44.775
2013-09-05,44.88
2013-09-06,44.86
2013-09-09,45.42
2013-09-10,46.08
2013-09-11,46.27
2013-09-12,46.08
2013-09-13,46.21
2013-09-16,46.81
2013-09-17,47.01
2013-09-18,47.6
2013-09-19,47.76
2013-09-20,46.96
2013-09-23,46.81
2013-09-24,46.98
2013-09-25,46.77
2013-09-26,46.98
2013-09-27,46.68
2013-09-30,46.405
2013-10-01,46.7
2013-10-02,46.48
2013-10-03,45.97
2013-10-04,46.27
2013-10-07,45.95
2013-10-08,45.43
2013-10-09,45.41
2013-10-10,46.58
2013-10-11,46.8
2013-10-14,46.98
2013-10-15,46.51
2013-10-16,46.819
2013-10-17,47.175
2013-10-18,47.691
