Date,TRDPRC_1
2010-01-04,26.67
2010-01-05,26.68
2010-01-06,26.66
2010-01-07,26.66
2010-01-08,26.57
2010-01-11,26.64
2010-01-12,26.79
2010-01-13,26.98
2010-01-14,26.9
2010-01-15,26.77
2010-01-19,26.93
2010-01-20,26.73
2010-01-21,26.35
2010-01-22,26.29
2010-01-25,26.34
2010-01-26,26.31
2010-01-27,26.37
2010-01-28,26.3
2010-01-29,26.2
2010-02-01,26.4
2010-02-02,26.78
2010-02-03,26.59
2010-02-04,26.05
2010-02-05,25.98
2010-02-08,25.95
2010-02-09,26.26
2010-02-10,26.23
2010-02-11,26.441
2010-02-12,26.44
2010-02-16,26.71
2010-02-17,26.9
2010-02-18,27.06
2010-02-19,27.12
2010-02-22,27.12
2010-02-23,26.97
2010-02-24,27.14
2010-02-25,27.16
2010-02-26,27.03
2010-03-01,27.22
2010-03-02,27.32
2010-03-03,27.33
2010-03-04,27.42
2010-03-05,27.59
2010-03-08,27.49
2010-03-09,27.45
2010-03-10,27.41
2010-03-11,27.46
2010-03-12,27.48
2010-03-15,27.689
2010-03-16,27.82
2010-03-17,27.94
2010-03-18,27.97
2010-03-19,27.77
2010-03-22,27.91
2010-03-23,28.13
2010-03-24,27.93
2010-03-25,27.89
2010-03-26,27.91
2010-03-29,28.04
2010-03-30,28.09
2010-03-31,27.93
2010-04-01,28.11
2010-04-05,28.11
2010-04-06,28.02
2010-04-07,27.84
2010-04-08,27.89
2010-04-09,28.04
2010-04-12,28.13
2010-04-13,28.04
2010-04-14,28.08
2010-04-15,28.03
2010-04-16,27.91
2010-04-19,28.02
2010-04-20,28.099
2010-04-21,28.1
2010-04-22,28.1
2010-04-23,28.03
2010-04-26,27.97
2010-04-27,27.48
2010-04-28,27.7
2010-04-29,27.79
2010-04-30,27.63
2010-05-03,27.79
2010-05-04,27.51
2010-05-05,27.61
2010-05-06,26.92
2010-05-07,26.74
2010-05-10,27.52
2010-05-11,27.51
2010-05-12,27.7
2010-05-13,27.53
2010-05-14,27.27
2010-05-17,27.56
2010-05-18,27.4
2010-05-19,27.33
2010-05-20,26.52
2010-05-21,26.62
2010-05-24,26.43
2010-05-25,26.12
2010-05-26,25.95
2010-05-27,26.48
2010-05-28,26.35
2010-06-01,26.29
2010-06-02,26.74
2010-06-03,26.78
2010-06-04,26.07
2010-06-07,25.87
2010-06-08,26.29
2010-06-09,26.24
2010-06-10,26.69
2010-06-11,26.47
2010-06-14,26.62
2010-06-15,26.89
2010-06-16,26.71
2010-06-17,26.95
2010-06-18,26.66
2010-06-21,26.59
2010-06-22,26.3
2010-06-23,26.47
2010-06-24,26.15
2010-06-25,25.88
2010-06-28,26.1
2010-06-29,25.68
2010-06-30,25.5
2010-07-01,25.55
2010-07-02,25.45
2010-07-06,25.6
2010-07-07,26.09
2010-07-08,26.48
2010-07-09,26.48
2010-07-12,26.57
2010-07-13,26.81
2010-07-14,26.82
2010-07-15,26.9
2010-07-16,26.52
2010-07-19,26.57
2010-07-20,26.89
2010-07-21,26.6
2010-07-22,26.9
2010-07-23,27.15
2010-07-26,27.29
2010-07-27,27.39
2010-07-28,27.24
2010-07-29,26.91
2010-07-30,26.98
2010-08-02,27.29
2010-08-03,27.05
2010-08-04,27.15
2010-08-05,27.03
2010-08-06,27.09
2010-08-09,27.23
2010-08-10,27.29
2010-08-11,26.84
2010-08-12,26.81
2010-08-13,26.8
2010-08-16,26.77
2010-08-17,27.03
2010-08-18,27.05
2010-08-19,26.73
2010-08-20,26.73
2010-08-23,26.79
2010-08-24,26.66
2010-08-25,26.72
2010-08-26,26.52
2010-08-27,26.69
2010-08-30,26.46
2010-08-31,26.48
2010-09-01,26.95
2010-09-02,27.12
2010-09-03,27.29
2010-09-07,27.18
2010-09-08,27.3
2010-09-09,27.39
2010-09-10,27.52
2010-09-13,27.55
2010-09-14,27.6
2010-09-15,27.79
2010-09-16,27.82
2010-09-17,27.55
2010-09-20,27.85
2010-09-21,27.8
2010-09-22,27.85
2010-09-23,27.67
2010-09-24,28.04
2010-09-27,27.88
2010-09-28,28.06
2010-09-29,27.98
2010-09-30,27.88
2010-10-01,27.93
2010-10-04,27.8475
2010-10-05,28.11
2010-10-06,28.23
2010-10-07,28.13
2010-10-08,28.19
2010-10-11,28.22
2010-10-12,28.29
2010-10-13,28.53
2010-10-14,28.54
2010-10-15,28.61
2010-10-18,28.71
2010-10-19,28.36
2010-10-20,28.61
2010-10-21,28.71
2010-10-22,28.81
2010-10-25,28.88
2010-10-26,28.72
2010-10-27,28.57
2010-10-28,28.67
2010-10-29,28.77
2010-11-01,28.65
2010-11-02,28.82
2010-11-03,28.91
2010-11-04,29.26
2010-11-05,29.11
2010-11-08,29.06
2010-11-09,28.91
2010-11-10,28.82
2010-11-11,28.85
2010-11-12,28.71
2010-11-15,28.72
2010-11-16,28.4
2010-11-17,28.41
2010-11-18,28.79
2010-11-19,28.81
2010-11-22,28.81
2010-11-23,28.47
2010-11-24,28.69
2010-11-26,28.5
2010-11-29,28.45
2010-11-30,28.32
2010-12-01,28.78
2010-12-02,28.8
2010-12-03,28.81
2010-12-06,28.74
2010-12-07,28.9
2010-12-08,29.01
2010-12-09,29.09
2010-12-10,29.14
2010-12-13,29.14
2010-12-14,29.28
2010-12-15,29.31
2010-12-16,29.5675
2010-12-17,29.36
2010-12-20,29.33
2010-12-21,29.26
2010-12-22,29.3875
2010-12-23,29.4
2010-12-27,29.26
2010-12-28,29.34
2010-12-29,29.35
2010-12-30,29.3
2010-12-31,29.31
2011-01-03,29.35
2011-01-04,29.27
2011-01-05,29.28
2011-01-06,29.18
2011-01-07,29.0325
2011-01-10,29.0525
2011-01-11,29.03
2011-01-12,29.27
2011-01-13,29.33
2011-01-14,29.33
2011-01-18,29.3475
2011-01-19,29.29
2011-01-20,29.44
2011-01-21,29.49
2011-01-24,29.54
2011-01-25,29.635
2011-01-26,29.56
2011-01-27,29.26
2011-01-28,28.98
2011-01-31,28.88
2011-02-01,29.09
2011-02-02,28.98
2011-02-03,29.13
2011-02-04,29.3
2011-02-07,29.34
2011-02-08,29.48
2011-02-09,29.53
2011-02-10,29.42
2011-02-11,29.58
2011-02-14,29.45
2011-02-15,29.44
2011-02-16,29.52
2011-02-17,29.72
2011-02-18,29.8
2011-02-22,29.59
2011-02-23,29.52
2011-02-24,29.4
2011-02-25,29.55
2011-02-28,29.72
2011-03-01,29.49
2011-03-02,29.41
2011-03-03,29.71
2011-03-04,29.58
2011-03-07,29.5
2011-03-08,29.76
2011-03-09,29.91
2011-03-10,29.71
2011-03-11,29.73
2011-03-14,29.52
2011-03-15,29.26
2011-03-16,28.8425
2011-03-17,28.98
2011-03-18,29.05
2011-03-21,29.41
2011-03-22,29.37
2011-03-23,29.42
