Date,TRDPRC_1
2010-01-04,15.0
2010-01-05,15.055
2010-01-06,15.075
2010-01-07,15.2
2010-01-08,15.195
2010-01-11,15.165
2010-01-12,14.97
2010-01-13,15.14
2010-01-14,15.14
2010-01-15,14.99
2010-01-19,15.19
2010-01-20,14.985
2010-01-21,14.795
2010-01-22,14.51
2010-01-25,14.585
2010-01-26,14.605
2010-01-27,14.63
2010-01-28,14.545
2010-01-29,14.455
2010-02-01,14.64
2010-02-02,14.845
2010-02-03,14.855
2010-02-04,14.425
2010-02-05,14.385
2010-02-08,14.295
2010-02-09,14.515
2010-02-10,14.455
2010-02-11,14.625
2010-02-12,14.625
2010-02-16,14.86
2010-02-17,14.98
2010-02-18,15.075
2010-02-19,15.11
2010-02-22,15.105
2010-02-23,15.015
2010-02-24,15.21
2010-02-25,15.235
2010-02-26,15.26
2010-03-01,15.5
2010-03-02,15.42
2010-03-03,15.465
2010-03-04,15.605
2010-03-05,15.895
2010-03-08,15.935
2010-03-09,15.91
2010-03-10,15.945
2010-03-11,16.06
2010-03-12,16.105
2010-03-15,16.085
2010-03-16,16.205
2010-03-17,16.285
2010-03-18,16.28
2010-03-19,16.2
2010-03-22,16.37
2010-03-23,16.435
2010-03-24,16.37
2010-03-25,16.465
2010-03-26,16.53
2010-03-29,16.555
2010-03-30,16.54
2010-03-31,16.42
2010-04-01,16.535
2010-04-05,16.735
2010-04-06,16.76
2010-04-07,16.7
2010-04-08,16.86
2010-04-09,16.985
2010-04-12,16.985
2010-04-13,17.075
2010-04-14,17.34
2010-04-15,17.415
2010-04-16,17.185
2010-04-19,17.215
2010-04-20,17.425
2010-04-21,17.505
2010-04-22,17.82
2010-04-23,17.835
2010-04-26,17.975
2010-04-27,17.455
2010-04-28,17.395
2010-04-29,17.78
2010-04-30,17.41
2010-05-03,17.76
2010-05-04,17.24125
2010-05-05,16.995
2010-05-06,16.39
2010-05-07,16.09
2010-05-10,16.93
2010-05-11,16.925
2010-05-12,17.17
2010-05-13,16.785
2010-05-14,16.505
2010-05-17,16.63
2010-05-18,16.32
2010-05-19,16.22
2010-05-20,15.59
2010-05-21,15.865
2010-05-24,15.755
2010-05-25,15.915
2010-05-26,15.865
2010-05-27,16.435
2010-05-28,16.185
2010-06-01,15.94
2010-06-02,16.34
2010-06-03,16.395
2010-06-04,15.76
2010-06-07,15.46
2010-06-08,15.59
2010-06-09,15.61
2010-06-10,16.14
2010-06-11,16.125
2010-06-14,16.17
2010-06-15,16.555
2010-06-16,16.44
2010-06-17,16.34
2010-06-18,16.235
2010-06-21,16.105
2010-06-22,15.745
2010-06-23,15.735
2010-06-24,15.36
2010-06-25,15.405
2010-06-28,15.29
2010-06-29,14.745
2010-06-30,14.565
